date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:59:17	58813/58813	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Feb%202024%2006:29:18%20GMT	https://cognizant.taleo.net/careersection/iam/accessmanagement/login.jsf?redirectionURI=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl&TARGET=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl	C:/My%20Web%20Sites/dfg/cognizant.taleo.net/careersection/iam/accessmanagement/login8613.html	(from )
11:59:18	3905/3905	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Sep%202020%2014:04:24%20GMT	https://cognizant.taleo.net/robots.txt		(from )
11:59:20	79526/79526	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Dec%202023%2015:43:26%20GMT	https://cognizant.taleo.net/careersection/2023PRD.4.0.28.3.0/css/careersection_all.css	C:/My%20Web%20Sites/dfg/cognizant.taleo.net/careersection/2023PRD.4.0.28.3.0/css/careersection_all.css	(from https://cognizant.taleo.net/careersection/iam/accessmanagement/login.jsf?redirectionURI=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl&TARGET=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl)
11:59:21	238346/238346	---M--	200	added ('OK')	application/javascript	date:Thu,%2007%20Dec%202023%2013:07:04%20GMT	https://cognizant.taleo.net/careersection/2023PRD.4.0.28.3.0/akira/pub/js/akira-corec.js	C:/My%20Web%20Sites/dfg/cognizant.taleo.net/careersection/2023PRD.4.0.28.3.0/akira/pub/js/akira-corec.js	(from https://cognizant.taleo.net/careersection/iam/accessmanagement/login.jsf?redirectionURI=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl&TARGET=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl)
11:59:22	2681/2681	---M--	200	added ('OK')	application/javascript	date:Thu,%2007%20Dec%202023%2013:07:04%20GMT	https://cognizant.taleo.net/careersection/2023PRD.4.0.28.3.0/akira/pub/js/calendar-resources.js	C:/My%20Web%20Sites/dfg/cognizant.taleo.net/careersection/2023PRD.4.0.28.3.0/akira/pub/js/calendar-resources.js	(from https://cognizant.taleo.net/careersection/iam/accessmanagement/login.jsf?redirectionURI=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl&TARGET=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl)
11:59:23	35221/35221	---M--	200	added ('OK')	text/css	date:Sat,%2014%20Oct%202023%2011:50:10%20GMT	https://cognizant.taleo.net/careersection/theme/2181/1140729137450/en/theme/css/main.css	C:/My%20Web%20Sites/dfg/cognizant.taleo.net/careersection/theme/2181/1140729137450/en/theme/css/main.css	(from https://cognizant.taleo.net/careersection/iam/accessmanagement/login.jsf?redirectionURI=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl&TARGET=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl)
11:59:25	89475/89475	---M--	200	added ('OK')	application/javascript	date:Wed,%2013%20Dec%202023%2015:43:26%20GMT	https://cognizant.taleo.net/careersection/2023PRD.4.0.28.3.0/js/common/jquery.min.js	C:/My%20Web%20Sites/dfg/cognizant.taleo.net/careersection/2023PRD.4.0.28.3.0/js/common/jquery.min.js	(from https://cognizant.taleo.net/careersection/iam/accessmanagement/login.jsf?redirectionURI=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl&TARGET=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl)
11:59:25	21959/21959	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Oct%202023%2011:50:10%20GMT	https://cognizant.taleo.net/careersection/theme/2181/1140729137450/en/theme/images/cognizant-logo.png	C:/My%20Web%20Sites/dfg/cognizant.taleo.net/careersection/theme/2181/1140729137450/en/theme/images/cognizant-logo.png	(from https://cognizant.taleo.net/careersection/iam/accessmanagement/login.jsf?redirectionURI=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl&TARGET=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl)
11:59:25	486/486	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Oct%202023%2011:50:10%20GMT	https://cognizant.taleo.net/careersection/theme/2181/1140729137450/en/theme/images/globe.jpg	C:/My%20Web%20Sites/dfg/cognizant.taleo.net/careersection/theme/2181/1140729137450/en/theme/images/globe.jpg	(from https://cognizant.taleo.net/careersection/iam/accessmanagement/login.jsf?redirectionURI=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl&TARGET=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl)
11:59:26	1748/1748	---M--	200	added ('OK')	application/javascript	date:Wed,%2013%20Dec%202023%2015:43:26%20GMT	https://cognizant.taleo.net/careersection/2023PRD.4.0.28.3.0/js/mobile.js	C:/My%20Web%20Sites/dfg/cognizant.taleo.net/careersection/2023PRD.4.0.28.3.0/js/mobile.js	(from https://cognizant.taleo.net/careersection/iam/accessmanagement/login.jsf?redirectionURI=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl&TARGET=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl)
